Times,Date,Target
第1162回,14.02.02,チョキ
第1161回,14.01.26,グー
第1160回,14.01.19,パー
第1159回,14.01.12,グー
第1158回,14.01.05,チョキ
第1157回,13.12.29,休み
第1156回,13.12.22,チョキ
第1155回,13.12.15,パー
第1154回,13.12.08,パー
第1153回,13.12.01,チョキ
第1152回,13.11.24,グー
第1151回,13.11.17,パー
第1150回,13.11.10,チョキ
第1149回,13.11.03,チョキ
第1148回,13.10.27,パー
第1147回,13.10.20,グー
第1146回,13.10.13,グー
第1145回,13.10.06,チョキ
第1144回,13.09.29,パー
第1143回,13.09.22,パー
第1142回,13.09.15,チョキ
第1141回,13.09.08,グー
第1140回,13.09.01,チョキ
第1139回,13.08.25,パー
第1138回,13.08.18,休み
第1137回,13.08.11,パー
第1136回,13.08.04,チョキ
第1135回,13.07.28,グー
第1134回,13.07.21,グー
第1133回,13.07.14,パー
第1132回,13.07.07,チョキ
第1131回,13.06.30,パー
第1130回,13.06.23,チョキ
第1129回,13.06.16,グー
第1128回,13.06.09,パー
第1127回,13.06.02,チョキ
第1126回,13.05.26,グー
第1125回,13.05.19,グー
第1124回,13.05.12,チョキ
第1123回,13.05.05,パー
第1122回,13.04.28,パー
第1121回,13.04.21,チョキ
第1120回,13.04.14,パー
第1119回,13.04.07,チョキ
第1118回,13.03.31,パー
第1117回,13.03.24,グー
第1116回,13.03.17,チョキ
第1115回,13.03.10,グー
第1114回,13.03.03,チョキ
第1113回,13.02.24,パー
第1112回,13.02.17,パー
第1111回,13.02.10,グー
第1110回,13.02.03,チョキ
第1109回,13.01.27,パー
第1108回,13.01.20,グー
第1107回,13.01.13,グー
第1106回,13.01.06,チョキ
第1105回,12.12.30,パー
第1104回,12.12.23,チョキ
第1103回,12.12.16,休み
第1102回,12.12.09,グー
第1101回,12.12.02,チョキ
第1100回,12.11.25,パー
第1099回,12.11.18,チョキ
第1098回,12.11.11,パー
第1097回,12.11.04,グー
第1096回,12.10.28,グー
第1095回,12.10.21,パー
第1094回,12.10.14,チョキ
第1093回,12.10.07,チョキ
第1092回,12.09.30,グー
第1091回,12.09.23,パー
第1090回,12.09.16,パー
第1089回,12.09.09,グー
第1088回,12.09.02,チョキ
第1087回,12.08.26,パー
第1086回,12.08.19,パー
第1085回,12.08.12,グー
第1084回,12.08.05,休み
第1083回,12.07.29,グー
第1082回,12.07.22,チョキ
第1081回,12.07.15,チョキ
第1080回,12.07.08,パー
第1079回,12.07.01,チョキ
第1078回,12.06.24,パー
第1077回,12.06.17,グー
第1076回,12.06.10,チョキ
第1075回,12.06.03,パー
第1074回,12.05.27,グー
第1073回,12.05.20,パー
第1072回,12.05.13,チョキ
第1071回,12.05.06,グー
第1070回,12.04.29,チョキ
第1069回,12.04.22,パー
第1068回,12.04.15,パー
第1067回,12.04.08,グー
第1066回,12.04.01,チョキ
第1065回,12.03.25,パー
第1064回,12.03.18,パー
第1063回,12.03.11,グー
第1062回,12.03.04,チョキ
第1061回,12.02.26,グー
第1060回,12.02.19,パー
第1059回,12.02.12,休み
第1058回,12.02.05,パー
第1057回,12.01.29,チョキ
第1056回,12.01.22,グー
第1055回,12.01.15,グー
第1054回,12.01.08,チョキ
第1053回,12.01.01,休み
第1052回,11.12.25,パー
第1051回,11.12.18,パー
第1050回,11.12.11,グー
第1049回,11.12.04,チョキ
第1048回,11.11.27,パー
第1047回,11.11.20,パー
第1046回,11.11.13,チョキ
第1045回,11.11.06,グー
第1044回,11.10.30,グー
第1043回,11.10.23,パー
第1042回,11.10.16,チョキ
第1041回,11.10.09,グー
第1040回,11.10.02,チョキ
第1039回,11.09.25,グー
第1038回,11.09.18,パー
第1037回,11.09.11,グー
第1036回,11.09.04,チョキ
第1035回,11.08.28,パー
第1034回,11.08.21,パー
第1033回,11.08.14,グー
第1032回,11.08.07,チョキ
第1031回,11.07.31,グー
第1030回,11.07.24,チョキ
第1029回,11.07.17,パー
第1028回,11.07.10,グー
第1027回,11.07.03,チョキ
第1026回,11.06.26,グー
第1025回,11.06.19,パー
第1024回,11.06.12,パー
第1023回,11.06.05,チョキ
第1022回,11.05.29,グー
第1021回,11.05.22,グー
第1020回,11.05.15,パー
第1019回,11.05.08,パー
第1018回,11.05.01,チョキ
第1017回,11.04.24,グー
第1016回,11.04.17,パー
第1015回,11.04.10,チョキ
第1014回,11.04.03,チョキ
第1013回,11.03.27,グー
第1012回,11.03.20,パー
第1011回,11.03.13,休み
第1010回,11.03.06,グー
第1009回,11.02.27,チョキ
第1008回,11.02.20,パー
第1007回,11.02.13,グー
第1006回,11.02.06,チョキ
第1005回,11.01.30,グー
第1004回,11.01.23,パー
第1003回,11.01.16,パー
第1002回,11.01.09,グー
第1001回,11.01.02,チョキ
第1000回,10.12.26,パー
第999回,10.12.19,パー
第998回,10.12.12,チョキ
第997回,10.12.05,グー
第996回,10.11.28,グー
第995回,10.11.21,パー
第994回,10.11.14,チョキ
第993回,10.11.07,休み
第992回,10.10.31,チョキ
第991回,10.10.24,グー
第990回,10.10.17,パー
第989回,10.10.10,パー
第988回,10.10.03,チョキ
第987回,10.09.26,パー
第986回,10.09.19,グー
第985回,10.09.12,グー
第984回,10.09.05,休み
第983回,10.08.29,チョキ
第982回,10.08.22,パー
第981回,10.08.15,グー
第980回,10.08.08,チョキ
第979回,10.08.01,パー
第978回,10.07.25,チョキ
第977回,10.07.18,パー
第976回,10.07.11,グー
第975回,10.07.04,チョキ
第974回,10.06.27,パー
第973回,10.06.20,チョキ
第972回,10.06.13,グー
第971回,10.06.06,チョキ
第970回,10.05.30,グー
第969回,10.05.23,パー
第968回,10.05.16,グー
第967回,10.05.09,パー
第966回,10.05.02,チョキ
第965回,10.04.25,パー
第964回,10.04.18,チョキ
第963回,10.04.11,グー
第962回,10.04.04,グー
第961回,10.03.28,パー
第960回,10.03.21,チョキ
第959回,10.03.14,チョキ
第958回,10.03.07,グー
第957回,10.02.28,パー
第956回,10.02.21,パー
第955回,10.02.14,グー
第954回,10.02.07,チョキ
第953回,10.01.31,休み
第952回,10.01.24,パー
第951回,10.01.17,グー
第950回,10.01.10,チョキ
第949回,10.01.03,休み
第948回,09.12.27,パー
第947回,09.12.20,チョキ
第946回,09.12.13,グー
第945回,09.12.06,グー
第944回,09.11.29,パー
第943回,09.11.22,パー
第942回,09.11.15,チョキ
第941回,09.11.08,チョキ
第940回,09.11.01,休み
第939回,09.10.25,グー
第938回,09.10.18,パー
第937回,09.10.11,チョキ
第936回,09.10.04,チョキ
第935回,09.09.27,グー
第934回,09.09.20,パー
第933回,09.09.13,チョキ
第932回,09.09.06,グー
第931回,09.08.30,チョキ
第930回,09.08.23,パー
第929回,09.08.16,パー
第928回,09.08.09,グー
第927回,09.08.02,パー
第926回,09.07.26,チョキ
第925回,09.07.19,グー
第924回,09.07.12,パー
第923回,09.07.05,チョキ
第922回,09.06.28,パー
第921回,09.06.21,チョキ
第920回,09.06.14,グー
第919回,09.06.07,グー
第918回,09.05.31,パー
第917回,09.05.24,チョキ
第916回,09.05.17,グー
第915回,09.05.10,チョキ
第914回,09.05.03,パー
第913回,09.04.26,パー
第912回,09.04.19,グー
第911回,09.04.12,パー
第910回,09.04.05,チョキ
第909回,09.03.29,グー
第908回,09.03.22,休み
第907回,09.03.15,グー
第906回,09.03.08,パー
第905回,09.03.01,パー
第904回,09.02.22,チョキ
第903回,09.02.15,グー
第902回,09.02.08,チョキ
第901回,09.02.01,グー
第900回,09.01.25,パー
第899回,09.01.18,パー
第898回,09.01.11,チョキ
第897回,09.01.04,チョキ
第896回,08.12.28,グー
第895回,08.12.21,パー
第894回,08.12.14,チョキ
第893回,08.12.07,グー
第892回,08.11.30,チョキ
第891回,08.11.23,パー
第890回,08.11.16,チョキ
第889回,08.11.09,チョキ
第888回,08.11.02,チョキ
第887回,08.10.26,パー
第886回,08.10.19,パー
第885回,08.10.12,グー
第884回,08.10.05,チョキ
第883回,08.09.28,グー
第882回,08.09.21,パー
第881回,08.09.14,チョキ
第880回,08.09.07,グー
第879回,08.08.31,チョキ
第878回,08.08.24,パー
第877回,08.08.17,グー
第876回,08.08.10,休み
第875回,08.08.03,チョキ
第874回,08.07.27,パー
第873回,08.07.20,チョキ
第872回,08.07.13,グー
第871回,08.07.06,チョキ
第870回,08.06.29,パー
第869回,08.06.22,グー
第868回,08.06.15,チョキ
第867回,08.06.08,グー
第866回,08.06.01,チョキ
第865回,08.05.25,パー
第864回,08.05.18,チョキ
第863回,08.05.11,パー
第862回,08.05.04,グー
第861回,08.04.27,チョキ
第860回,08.04.20,チョキ
第859回,08.04.13,パー
第858回,08.04.06,グー
第857回,08.03.30,グー
第856回,08.03.23,パー
第855回,08.03.16,チョキ
第854回,08.03.09,パー
第853回,08.03.02,グー
第852回,08.02.24,チョキ
第851回,08.02.17,パー
第850回,08.02.10,チョキ
第849回,08.02.03,パー
第848回,08.01.27,グー
第847回,08.01.20,チョキ
第846回,08.01.13,パー
第845回,08.01.06,チョキ
第844回,07.12.30,休み
第843回,07.12.23,グー
第842回,07.12.16,グー
第841回,07.12.09,チョキ
第840回,07.12.02,チョキ
第839回,07.11.25,パー
第838回,07.11.18,グー
第837回,07.11.11,パー
第836回,07.11.04,チョキ
第835回,07.10.28,パー
第834回,07.10.21,チョキ
第833回,07.10.14,グー
第832回,07.10.07,グー
第831回,07.09.30,チョキ
第830回,07.09.23,パー
第829回,07.09.16,チョキ
第828回,07.09.09,グー
第827回,07.09.02,パー
第826回,07.08.26,グー
第825回,07.08.19,チョキ
第824回,07.08.12,パー
第823回,07.08.05,パー
第822回,07.07.29,チョキ
第821回,07.07.22,チョキ
第820回,07.07.15,グー
第819回,07.07.08,グー
第818回,07.07.01,パー
第817回,07.06.24,グー
第816回,07.06.17,チョキ
第815回,07.06.10,チョキ
第814回,07.06.03,グー
第813回,07.05.27,パー
第812回,07.05.20,パー
第811回,07.05.13,グー
第810回,07.05.06,グー
第809回,07.04.29,チョキ
第808回,07.04.22,パー
第807回,07.04.15,パー
第806回,07.04.08,グー
第805回,07.04.01,チョキ
第804回,07.03.25,グー
第803回,07.03.18,グー
第802回,07.03.11,チョキ
第801回,07.03.04,チョキ
第800回,07.02.25,パー
第799回,07.02.18,チョキ
第798回,07.02.11,グー
第797回,07.02.04,チョキ
第796回,07.01.28,グー
第795回,07.01.21,グー
第794回,07.01.14,パー
第793回,07.01.07,チョキ
第792回,06.12.31,チョキ
第791回,06.12.24,パー
第790回,06.12.17,グー
第789回,06.12.10,グー
第788回,06.12.03,チョキ
第787回,06.11.26,グー
第786回,06.11.19,パー
第785回,06.11.12,グー
第784回,06.11.05,チョキ
第783回,06.10.29,グー
第782回,06.10.22,休み
第781回,06.10.15,パー
第780回,06.10.08,パー
第779回,06.10.01,グー
第778回,06.09.24,チョキ
第777回,06.09.17,チョキ
第776回,06.09.10,パー
第775回,06.09.03,チョキ
第774回,06.08.27,パー
第773回,06.08.20,グー
第772回,06.08.13,パー
第771回,06.08.06,チョキ
第770回,06.07.30,チョキ
第769回,06.07.23,パー
第768回,06.07.16,チョキ
第767回,06.07.09,グー
第766回,06.07.02,チョキ
第765回,06.06.25,グー
第764回,06.06.18,パー
第763回,06.06.11,パー
第762回,06.06.04,チョキ
第761回,06.05.28,グー
第760回,06.05.21,チョキ
第759回,06.05.14,パー
第758回,06.05.07,パー
第757回,06.04.30,チョキ
第756回,06.04.23,パー
第755回,06.04.16,グー
第754回,06.04.09,パー
第753回,06.04.02,チョキ
第752回,06.03.26,パー
第751回,06.03.19,チョキ
第750回,06.03.12,グー
第749回,06.03.05,グー
第748回,06.02.26,グー
第747回,06.02.19,パー
第746回,06.02.12,休み
第745回,06.02.05,チョキ
第744回,06.01.29,パー
第743回,06.01.22,グー
第742回,06.01.15,チョキ
第741回,06.01.08,チョキ
第740回,06.01.01,休み
第739回,05.12.25,パー
第738回,05.12.18,チョキ
第737回,05.12.11,グー
第736回,05.12.04,グー
第735回,05.11.27,パー
第734回,05.11.20,パー
第733回,05.11.13,チョキ
第732回,05.11.06,パー
第731回,05.10.30,グー
第730回,05.10.23,チョキ
第729回,05.10.16,パー
第728回,05.10.09,グー
第727回,05.10.02,チョキ
第726回,05.09.25,休み
第725回,05.09.18,パー
第724回,05.09.11,チョキ
第723回,05.09.04,グー
第722回,05.08.28,グー
第721回,05.08.21,チョキ
第720回,05.08.14,チョキ
第719回,05.08.07,パー
第718回,05.07.31,チョキ
第717回,05.07.24,チョキ
第716回,05.07.17,パー
第715回,05.07.10,グー
第714回,05.07.03,チョキ
第713回,05.06.26,グー
第712回,05.06.19,チョキ
第711回,05.06.12,グー
第710回,05.06.05,パー
第709回,05.05.29,パー
第708回,05.05.22,パー
第707回,05.05.15,グー
第706回,05.05.08,チョキ
第705回,05.05.01,チョキ
第704回,05.04.24,グー
第703回,05.04.17,パー
第702回,05.04.10,グー
第701回,05.04.03,チョキ
第700回,05.03.27,チョキ
第699回,05.03.20,パー
第698回,05.03.13,チョキ
第697回,05.03.06,パー
第696回,05.02.27,グー
第695回,05.02.20,グー
第694回,05.02.13,パー
第693回,05.02.06,チョキ
第692回,05.01.30,パー
第691回,05.01.23,パー
第690回,05.01.16,チョキ
第689回,05.01.09,休み
第688回,05.01.02,休み
第687回,04.12.26,グー
第686回,04.12.19,チョキ
第685回,04.12.12,パー
第684回,04.12.05,チョキ
第683回,04.11.28,グー
第682回,04.11.21,グー
第681回,04.11.14,グー
第680回,04.11.07,グー
第679回,04.10.31,パー
第678回,04.10.24,休み
第677回,04.10.17,休み
第676回,04.10.10,チョキ
第675回,04.10.03,チョキ
第674回,04.09.26,グー
第673回,04.09.19,グー
第672回,04.09.12,パー
第671回,04.09.05,チョキ
第670回,04.08.29,グー
第669回,04.08.22,グー
第668回,04.08.15,休み
第667回,04.08.08,パー
第666回,04.08.01,グー
第665回,04.07.25,チョキ
第664回,04.07.18,パー
第663回,04.07.11,パー
第662回,04.07.04,チョキ
第661回,04.06.27,パー
第660回,04.06.20,グー
第659回,04.06.13,パー
第658回,04.06.06,チョキ
第657回,04.05.30,グー
第656回,04.05.23,グー
第655回,04.05.16,パー
第654回,04.05.09,チョキ
第653回,04.05.02,グー
第652回,04.04.25,パー
第651回,04.04.18,グー
第650回,04.04.11,チョキ
第649回,04.04.04,チョキ
第648回,04.03.28,パー
第647回,04.03.21,チョキ
第646回,04.03.14,パー
第645回,04.03.07,パー
第644回,04.02.29,グー
第643回,04.02.22,グー
第642回,04.02.15,チョキ
第641回,04.02.08,グー
第640回,04.02.01,チョキ
第639回,04.01.25,パー
第638回,04.01.18,パー
第637回,04.01.11,チョキ
第636回,04.01.04,チョキ
第635回,03.12.28,パー
第634回,03.12.21,グー
第633回,03.12.14,パー
第632回,03.12.07,パー
第631回,03.11.30,チョキ
第630回,03.11.23,グー
第629回,03.11.16,休み
第628回,03.11.09,チョキ
第627回,03.11.02,チョキ
第626回,03.10.26,パー
第625回,03.10.19,パー
第624回,03.10.12,グー
第623回,03.10.05,チョキ
第622回,03.09.28,パー
第621回,03.09.21,グー
第620回,03.09.14,グー
第619回,03.09.07,グー
第618回,03.08.31,チョキ
第617回,03.08.24,パー
第616回,03.08.17,パー
第615回,03.08.10,パー
第614回,03.08.03,チョキ
第613回,03.07.27,パー
第612回,03.07.20,パー
第611回,03.07.13,グー
第610回,03.07.06,チョキ
第609回,03.06.29,グー
第608回,03.06.22,パー
第607回,03.06.15,パー
第606回,03.06.08,チョキ
第605回,03.06.01,パー
第604回,03.05.25,チョキ
第603回,03.05.18,グー
第602回,03.05.11,グー
第601回,03.05.04,グー
第600回,03.04.27,パー
第599回,03.04.20,パー
第598回,03.04.13,チョキ
第597回,03.04.06,チョキ
第596回,03.03.30,グー
第595回,03.03.23,チョキ
第594回,03.03.16,チョキ
第593回,03.03.09,パー
第592回,03.03.02,グー
第591回,03.02.23,チョキ
第590回,03.02.16,パー
第589回,03.02.09,チョキ
第588回,03.02.02,パー
第587回,03.01.26,グー
第586回,03.01.19,パー
第585回,03.01.12,休み
第584回,03.01.05,チョキ
第583回,02.12.29,チョキ
第582回,02.12.22,グー
第581回,02.12.15,パー
第580回,02.12.08,パー
第579回,02.12.01,チョキ
第578回,02.11.24,グー
第577回,02.11.17,パー
第576回,02.11.10,チョキ
第575回,02.11.03,グー
第574回,02.10.27,グー
第573回,02.10.20,パー
第572回,02.10.13,チョキ
第571回,02.10.06,チョキ
第570回,02.09.29,休み
第569回,02.09.22,グー
第568回,02.09.15,グー
第567回,02.09.08,チョキ
第566回,02.09.01,グー
第565回,02.08.25,パー
第564回,02.08.18,グー
第563回,02.08.11,グー
第562回,02.08.04,チョキ
第561回,02.07.28,パー
第560回,02.07.21,グー
第559回,02.07.14,チョキ
第558回,02.07.07,チョキ
第557回,02.06.30,パー
第556回,02.06.23,チョキ
第555回,02.06.16,グー
第554回,02.06.09,パー
第553回,02.06.02,チョキ
第552回,02.05.26,チョキ
第551回,02.05.19,グー
第550回,02.05.12,パー
第549回,02.05.05,チョキ
第548回,02.04.28,パー
第547回,02.04.21,グー
第546回,02.04.14,チョキ
第545回,02.04.07,チョキ
第544回,02.03.31,グー
第543回,02.03.24,パー
第542回,02.03.17,グー
第541回,02.03.10,チョキ
第540回,02.03.03,グー
第539回,02.02.24,グー
第538回,02.02.17,パー
第537回,02.02.10,チョキ
第536回,02.02.03,グー
第535回,02.01.27,パー
第534回,02.01.20,休み
第533回,02.01.13,チョキ
第532回,02.01.06,チョキ
第531回,01.12.30,パー
第530回,01.12.23,グー
第529回,01.12.16,チョキ
第528回,01.12.09,パー
第527回,01.12.02,チョキ
第526回,01.11.25,パー
第525回,01.11.18,グー
第524回,01.11.11,グー
第523回,01.11.04,チョキ
第522回,01.10.28,パー
第521回,01.10.21,チョキ
第520回,01.10.14,グー
第519回,01.10.07,チョキ
第518回,01.09.30,休み
第517回,01.09.23,チョキ
第516回,01.09.16,パー
第515回,01.09.09,パー
第514回,01.09.02,チョキ
第513回,01.08.26,パー
第512回,01.08.19,グー
第511回,01.08.12,グー
第510回,01.08.05,チョキ
第509回,01.07.29,パー
第508回,01.07.22,チョキ
第507回,01.07.15,パー
第506回,01.07.08,グー
第505回,01.07.01,パー
第504回,01.06.24,チョキ
第503回,01.06.17,チョキ
第502回,01.06.10,グー
第501回,01.06.03,グー
第500回,01.05.27,パー
第499回,01.05.20,グー
第498回,01.05.13,パー
第497回,01.05.06,チョキ
第496回,01.04.29,パー
第495回,01.04.22,グー
第494回,01.04.15,グー
第493回,01.04.08,パー
第492回,01.04.01,チョキ
第491回,01.03.25,グー
第490回,01.03.18,チョキ
第489回,01.03.11,パー
第488回,01.03.04,チョキ
第487回,01.02.25,グー
第486回,01.02.18,チョキ
第485回,01.02.11,チョキ
第484回,01.02.04,チョキ
第483回,01.01.28,グー
第482回,01.01.21,グー
第481回,01.01.14,パー
第480回,01.01.07,チョキ
第479回,00.12.31,パー
第478回,00.12.24,チョキ
第477回,00.12.17,チョキ
第476回,00.12.10,パー
第475回,00.12.03,グー
第474回,00.11.26,パー
第473回,00.11.19,チョキ
第472回,00.11.12,パー
第471回,00.11.05,チョキ
第470回,00.10.29,チョキ
第469回,00.10.22,パー
第468回,00.10.15,グー
第467回,00.10.08,グー
第466回,00.10.01,パー
第465回,00.09.24,パー
第464回,00.09.17,チョキ
第463回,00.09.10,チョキ
第462回,00.09.03,グー
第461回,00.08.27,パー
第460回,00.08.20,グー
第459回,00.08.13,パー
第458回,00.08.06,チョキ
第457回,00.07.30,チョキ
第456回,00.07.23,パー
第455回,00.07.16,パー
第454回,00.07.09,チョキ
第453回,00.07.02,チョキ
第452回,00.06.25,チョキ
第451回,00.06.18,グー
第450回,00.06.11,パー
第449回,00.06.04,チョキ
第448回,00.05.28,グー
第447回,00.05.21,グー
第446回,00.05.14,チョキ
第445回,00.05.07,グー
第444回,00.04.30,パー
第443回,00.04.23,チョキ
第442回,00.04.16,グー
第441回,00.04.09,チョキ
第440回,00.04.02,チョキ
第439回,00.03.26,グー
第438回,00.03.19,パー
第437回,00.03.12,チョキ
第436回,00.03.05,グー
第435回,00.02.27,パー
第434回,00.02.20,パー
第433回,00.02.13,チョキ
第432回,00.02.06,グー
第431回,00.01.30,グー
第430回,00.01.23,パー
第429回,00.01.16,休み
第428回,00.01.09,チョキ
第427回,00.01.02,休み
第426回,99.12.26,チョキ
第425回,99.12.19,グー
第424回,99.12.12,グー
第423回,99.12.05,チョキ
第422回,99.11.28,グー
第421回,99.11.21,パー
第420回,99.11.14,パー
第419回,99.11.07,チョキ
第418回,99.10.31,チョキ
第417回,99.10.17,パー
第416回,99.10.10,グー
第415回,99.10.03,パー
第414回,99.09.26,グー
第413回,99.09.19,グー
第412回,99.09.12,パー
第411回,99.09.05,チョキ
第410回,99.08.29,チョキ
第409回,99.08.22,チョキ
第408回,99.08.15,グー
第407回,99.08.08,チョキ
第406回,99.08.01,パー
第405回,99.07.25,グー
第404回,99.07.18,チョキ
第403回,99.07.11,パー
第402回,99.07.04,パー
第401回,99.06.27,パー
第400回,99.06.20,グー
第399回,99.06.13,チョキ
第398回,99.06.06,グー
第397回,99.05.30,パー
第396回,99.05.23,グー
第395回,99.05.16,チョキ
第394回,99.05.09,パー
第393回,99.05.02,パー
第392回,99.04.25,グー
第391回,99.04.18,グー
第390回,99.04.11,チョキ
第389回,99.04.04,グー
第388回,99.03.28,チョキ
第387回,99.03.21,パー
第386回,99.03.14,グー
第385回,99.03.07,グー
第384回,99.02.28,チョキ
第383回,99.02.21,パー
第382回,99.02.14,チョキ
第381回,99.02.07,グー
第380回,99.01.31,パー
第379回,99.01.24,グー
第378回,99.01.17,チョキ
第377回,99.01.10,チョキ
第376回,99.01.03,休み
第375回,98.12.27,パー
第374回,98.12.20,グー
第373回,98.12.13,パー
第372回,98.12.06,チョキ
第371回,98.11.29,パー
第370回,98.11.22,チョキ
第369回,98.11.15,グー
第368回,98.11.08,グー
第367回,98.11.01,パー
第366回,98.10.25,チョキ
第365回,98.10.18,パー
第364回,98.10.11,グー
第363回,98.10.04,チョキ
第362回,98.09.27,チョキ
第361回,98.09.20,パー
第360回,98.09.13,パー
第359回,98.09.06,チョキ
第358回,98.08.30,グー
第357回,98.08.23,パー
第356回,98.08.16,チョキ
第355回,98.08.09,パー
第354回,98.08.02,グー
第353回,98.07.26,グー
第352回,98.07.19,チョキ
第351回,98.07.12,パー
第350回,98.07.05,チョキ
第349回,98.06.28,パー
第348回,98.06.21,グー
第347回,98.06.14,チョキ
第346回,98.06.07,パー
第345回,98.05.31,チョキ
第344回,98.05.24,グー
第343回,98.05.17,グー
第342回,98.05.10,パー
第341回,98.05.03,チョキ
第340回,98.04.26,パー
第339回,98.04.19,グー
第338回,98.04.12,チョキ
第337回,98.04.05,チョキ
第336回,98.03.29,パー
第335回,98.03.22,グー
第334回,98.03.15,チョキ
第333回,98.03.08,パー
第332回,98.03.01,パー
第331回,98.02.22,グー
第330回,98.02.15,チョキ
第329回,98.02.08,チョキ
第328回,98.02.01,グー
第327回,98.01.25,パー
第326回,98.01.18,パー
第325回,98.01.11,グー
第324回,98.01.04,チョキ
第323回,97.12.28,パー
第322回,97.12.21,チョキ
第321回,97.12.14,パー
第320回,97.12.07,グー
第319回,97.11.30,グー
第318回,97.11.23,パー
第317回,97.11.16,チョキ
第316回,97.11.09,グー
第315回,97.11.02,チョキ
第314回,97.10.26,パー
第313回,97.10.19,グー
第312回,97.10.12,チョキ
第311回,97.10.05,チョキ
第310回,97.09.28,パー
第309回,97.09.21,チョキ
第308回,97.09.14,グー
第307回,97.09.07,チョキ
第306回,97.08.31,パー
第305回,97.08.24,パー
第304回,97.08.17,グー
第303回,97.08.10,チョキ
第302回,97.08.03,グー
第301回,97.07.27,休み
第300回,97.07.20,パー
第299回,97.07.13,グー
第298回,97.07.06,チョキ
第297回,97.06.29,チョキ
第296回,97.06.22,パー
第295回,97.06.15,グー
第294回,97.06.08,グー
第293回,97.06.01,チョキ
第292回,97.05.25,パー
第291回,97.05.18,チョキ
第290回,97.05.11,グー
第289回,97.05.04,パー
第288回,97.04.27,パー
第287回,97.04.20,チョキ
第286回,97.04.13,グー
第285回,97.04.06,チョキ
第284回,97.03.30,パー
第283回,97.03.23,パー
第282回,97.03.16,グー
第281回,97.03.09,チョキ
第280回,97.03.02,グー
第279回,97.02.23,チョキ
第278回,97.02.16,パー
第277回,97.02.09,グー
第276回,97.02.02,パー
第275回,97.01.26,チョキ
第274回,97.01.19,パー
第273回,97.01.12,グー
第272回,97.01.05,チョキ
第271回,96.12.29,チョキ
第270回,96.12.22,グー
第269回,96.12.15,グー
第268回,96.12.08,パー
第267回,96.12.01,パー
第266回,96.11.24,チョキ
第265回,96.11.17,パー
第264回,96.11.10,グー
第263回,96.11.03,グー
第262回,96.10.27,チョキ
第261回,96.10.20,休み
第260回,96.10.13,パー
第259回,96.10.06,休み
第258回,96.09.29,チョキ
第257回,96.09.22,グー
第256回,96.09.15,グー
第255回,96.09.08,パー
第254回,96.09.01,グー
第253回,96.08.25,チョキ
第252回,96.08.18,チョキ
