Times,Date,Target
第1099回,12.11.18,2
第1098回,12.11.11,3
第1097回,12.11.04,1
第1096回,12.10.28,1
第1095回,12.10.21,3
第1094回,12.10.14,2
第1093回,12.10.07,2
第1092回,12.09.30,1
第1091回,12.09.23,3
第1090回,12.09.16,3
第1089回,12.09.09,1
第1088回,12.09.02,2
第1087回,12.08.26,3
第1086回,12.08.19,3
第1085回,12.08.12,1
第1084回,12.08.05,0
第1083回,12.07.29,1
第1082回,12.07.22,2
第1081回,12.07.15,2
第1080回,12.07.08,3
第1079回,12.07.01,2
第1078回,12.06.24,3
第1077回,12.06.17,1
第1076回,12.06.10,2
第1075回,12.06.03,3
第1074回,12.05.27,1
第1073回,12.05.20,3
第1072回,12.05.13,2
第1071回,12.05.06,1
第1070回,12.04.29,2
第1069回,12.04.22,3
第1068回,12.04.15,3
第1067回,12.04.08,1
第1066回,12.04.01,2
第1065回,12.03.25,3
第1064回,12.03.18,3
第1063回,12.03.11,1
第1062回,12.03.04,2
第1061回,12.02.26,1
第1060回,12.02.19,3
第1059回,12.02.12,0
第1058回,12.02.05,3
第1057回,12.01.29,2
第1056回,12.01.22,1
第1055回,12.01.15,1
第1054回,12.01.08,2
第1053回,12.01.01,0
第1052回,11.12.25,3
第1051回,11.12.18,3
第1050回,11.12.11,1
第1049回,11.12.04,2
第1048回,11.11.27,3
第1047回,11.11.20,3
第1046回,11.11.13,2
第1045回,11.11.06,1
第1044回,11.10.30,1
第1043回,11.10.23,3
第1042回,11.10.16,2
第1041回,11.10.09,1
第1040回,11.10.02,2
第1039回,11.09.25,1
第1038回,11.09.18,3
第1037回,11.09.11,1
第1036回,11.09.04,2
第1035回,11.08.28,3
第1034回,11.08.21,3
第1033回,11.08.14,1
第1032回,11.08.07,2
第1031回,11.07.31,1
第1030回,11.07.24,2
第1029回,11.07.17,3
第1028回,11.07.10,1
第1027回,11.07.03,2
第1026回,11.06.26,1
第1025回,11.06.19,3
第1024回,11.06.12,3
第1023回,11.06.05,2
第1022回,11.05.29,1
第1021回,11.05.22,1
第1020回,11.05.15,3
第1019回,11.05.08,3
第1018回,11.05.01,2
第1017回,11.04.24,1
第1016回,11.04.17,3
第1015回,11.04.10,2
第1014回,11.04.03,2
第1013回,11.03.27,1
第1012回,11.03.20,3
第1011回,11.03.13,0
第1010回,11.03.06,1
第1009回,11.02.27,2
第1008回,11.02.20,3
第1007回,11.02.13,1
第1006回,11.02.06,2
第1005回,11.01.30,1
第1004回,11.01.23,3
第1003回,11.01.16,3
第1002回,11.01.09,1
第1001回,11.01.02,2
第1000回,10.12.26,3
第999回,10.12.19,3
第998回,10.12.12,2
第997回,10.12.05,1
第996回,10.11.28,1
第995回,10.11.21,3
第994回,10.11.14,2
第993回,10.11.07,0
第992回,10.10.31,2
第991回,10.10.24,1
第990回,10.10.17,3
第989回,10.10.10,3
第988回,10.10.03,2
第987回,10.09.26,3
第986回,10.09.19,1
第985回,10.09.12,1
第984回,10.09.05,0
第983回,10.08.29,2
第982回,10.08.22,3
第981回,10.08.15,1
第980回,10.08.08,2
第979回,10.08.01,3
第978回,10.07.25,2
第977回,10.07.18,3
第976回,10.07.11,1
第975回,10.07.04,2
第974回,10.06.27,3
第973回,10.06.20,2
第972回,10.06.13,1
第971回,10.06.06,2
第970回,10.05.30,1
第969回,10.05.23,3
第968回,10.05.16,1
第967回,10.05.09,3
第966回,10.05.02,2
第965回,10.04.25,3
第964回,10.04.18,2
第963回,10.04.11,1
第962回,10.04.04,1
第961回,10.03.28,3
第960回,10.03.21,2
第959回,10.03.14,2
第958回,10.03.07,1
第957回,10.02.28,3
第956回,10.02.21,3
第955回,10.02.14,1
第954回,10.02.07,2
第953回,10.01.31,0
第952回,10.01.24,3
第951回,10.01.17,1
第950回,10.01.10,2
第949回,10.01.03,0
第948回,09.12.27,3
第947回,09.12.20,2
第946回,09.12.13,1
第945回,09.12.06,1
第944回,09.11.29,3
第943回,09.11.22,3
第942回,09.11.15,2
第941回,09.11.08,2
第940回,09.11.01,0
第939回,09.10.25,1
第938回,09.10.18,3
第937回,09.10.11,2
第936回,09.10.04,2
第935回,09.09.27,1
第934回,09.09.20,3
第933回,09.09.13,2
第932回,09.09.06,1
第931回,09.08.30,2
第930回,09.08.23,3
第929回,09.08.16,3
第928回,09.08.09,1
第927回,09.08.02,3
第926回,09.07.26,2
第925回,09.07.19,1
第924回,09.07.12,3
第923回,09.07.05,2
第922回,09.06.28,3
第921回,09.06.21,2
第920回,09.06.14,1
第919回,09.06.07,1
第918回,09.05.31,3
第917回,09.05.24,2
第916回,09.05.17,1
第915回,09.05.10,2
第914回,09.05.03,3
第913回,09.04.26,3
第912回,09.04.19,1
第911回,09.04.12,3
第910回,09.04.05,2
第909回,09.03.29,1
第908回,09.03.22,0
第907回,09.03.15,1
第906回,09.03.08,3
第905回,09.03.01,3
第904回,09.02.22,2
第903回,09.02.15,1
第902回,09.02.08,2
第901回,09.02.01,1
第900回,09.01.25,3
第899回,09.01.18,3
第898回,09.01.11,2
第897回,09.01.04,2
第896回,08.12.28,1
第895回,08.12.21,3
第894回,08.12.14,2
第893回,08.12.07,1
第892回,08.11.30,2
第891回,08.11.23,3
第890回,08.11.16,2
第889回,08.11.09,2
第888回,08.11.02,2
第887回,08.10.26,3
第886回,08.10.19,3
第885回,08.10.12,1
第884回,08.10.05,2
第883回,08.09.28,1
第882回,08.09.21,3
第881回,08.09.14,2
第880回,08.09.07,1
第879回,08.08.31,2
第878回,08.08.24,3
第877回,08.08.17,1
第876回,08.08.10,0
第875回,08.08.03,2
第874回,08.07.27,3
第873回,08.07.20,2
第872回,08.07.13,1
第871回,08.07.06,2
第870回,08.06.29,3
第869回,08.06.22,1
第868回,08.06.15,2
第867回,08.06.08,1
第866回,08.06.01,2
第865回,08.05.25,3
第864回,08.05.18,2
第863回,08.05.11,3
第862回,08.05.04,1
第861回,08.04.27,2
第860回,08.04.20,2
第859回,08.04.13,3
第858回,08.04.06,1
第857回,08.03.30,1
第856回,08.03.23,3
第855回,08.03.16,2
第854回,08.03.09,3
第853回,08.03.02,1
第852回,08.02.24,2
第851回,08.02.17,3
第850回,08.02.10,2
第849回,08.02.03,3
第848回,08.01.27,1
第847回,08.01.20,2
第846回,08.01.13,3
第845回,08.01.06,2
第844回,07.12.30,0
第843回,07.12.23,1
第842回,07.12.16,1
第841回,07.12.09,2
第840回,07.12.02,2
第839回,07.11.25,3
第838回,07.11.18,1
第837回,07.11.11,3
第836回,07.11.04,2
第835回,07.10.28,3
第834回,07.10.21,2
第833回,07.10.14,1
第832回,07.10.07,1
第831回,07.09.30,2
第830回,07.09.23,3
第829回,07.09.16,2
第828回,07.09.09,1
第827回,07.09.02,3
第826回,07.08.26,1
第825回,07.08.19,2
第824回,07.08.12,3
第823回,07.08.05,3
第822回,07.07.29,2
第821回,07.07.22,2
第820回,07.07.15,1
第819回,07.07.08,1
第818回,07.07.01,3
第817回,07.06.24,1
第816回,07.06.17,2
第815回,07.06.10,2
第814回,07.06.03,1
第813回,07.05.27,3
第812回,07.05.20,3
第811回,07.05.13,1
第810回,07.05.06,1
第809回,07.04.29,2
第808回,07.04.22,3
第807回,07.04.15,3
第806回,07.04.08,1
第805回,07.04.01,2
第804回,07.03.25,1
第803回,07.03.18,1
第802回,07.03.11,2
第801回,07.03.04,2
第800回,07.02.25,3
第799回,07.02.18,2
第798回,07.02.11,1
第797回,07.02.04,2
第796回,07.01.28,1
第795回,07.01.21,1
第794回,07.01.14,3
第793回,07.01.07,2
第792回,06.12.31,2
第791回,06.12.24,3
第790回,06.12.17,1
第789回,06.12.10,1
第788回,06.12.03,2
第787回,06.11.26,1
第786回,06.11.19,3
第785回,06.11.12,1
第784回,06.11.05,2
第783回,06.10.29,1
第782回,06.10.22,0
第781回,06.10.15,3
第780回,06.10.08,3
第779回,06.10.01,1
第778回,06.09.24,2
第777回,06.09.17,2
第776回,06.09.10,3
第775回,06.09.03,2
第774回,06.08.27,3
第773回,06.08.20,1
第772回,06.08.13,3
第771回,06.08.06,2
第770回,06.07.30,2
第769回,06.07.23,3
第768回,06.07.16,2
第767回,06.07.09,1
第766回,06.07.02,2
第765回,06.06.25,1
第764回,06.06.18,3
第763回,06.06.11,3
第762回,06.06.04,2
第761回,06.05.28,1
第760回,06.05.21,2
第759回,06.05.14,3
第758回,06.05.07,3
第757回,06.04.30,2
第756回,06.04.23,3
第755回,06.04.16,1
第754回,06.04.09,3
第753回,06.04.02,2
第752回,06.03.26,3
第751回,06.03.19,2
第750回,06.03.12,1
第749回,06.03.05,1
第748回,06.02.26,1
第747回,06.02.19,3
第746回,06.02.12,0
第745回,06.02.05,2
第744回,06.01.29,3
第743回,06.01.22,1
第742回,06.01.15,2
第741回,06.01.08,2
第740回,06.01.01,0
第739回,05.12.25,3
第738回,05.12.18,2
第737回,05.12.11,1
第736回,05.12.04,1
第735回,05.11.27,3
第734回,05.11.20,3
第733回,05.11.13,2
第732回,05.11.06,3
第731回,05.10.30,1
第730回,05.10.23,2
第729回,05.10.16,3
第728回,05.10.09,1
第727回,05.10.02,2
第726回,05.09.25,0
第725回,05.09.18,3
第724回,05.09.11,2
第723回,05.09.04,1
第722回,05.08.28,1
第721回,05.08.21,2
第720回,05.08.14,2
第719回,05.08.07,3
第718回,05.07.31,2
第717回,05.07.24,2
第716回,05.07.17,3
第715回,05.07.10,1
第714回,05.07.03,2
第713回,05.06.26,1
第712回,05.06.19,2
第711回,05.06.12,1
第710回,05.06.05,3
第709回,05.05.29,3
第708回,05.05.22,3
第707回,05.05.15,1
第706回,05.05.08,2
第705回,05.05.01,2
第704回,05.04.24,1
第703回,05.04.17,3
第702回,05.04.10,1
第701回,05.04.03,2
第700回,05.03.27,2
第699回,05.03.20,3
第698回,05.03.13,2
第697回,05.03.06,3
第696回,05.02.27,1
第695回,05.02.20,1
第694回,05.02.13,3
第693回,05.02.06,2
第692回,05.01.30,3
第691回,05.01.23,3
第690回,05.01.16,2
第689回,05.01.09,0
第688回,05.01.02,0
第687回,04.12.26,1
第686回,04.12.19,2
第685回,04.12.12,3
第684回,04.12.05,2
第683回,04.11.28,1
第682回,04.11.21,1
第681回,04.11.14,1
第680回,04.11.07,1
第679回,04.10.31,3
第678回,04.10.24,0
第677回,04.10.17,0
第676回,04.10.10,2
第675回,04.10.03,2
第674回,04.09.26,1
第673回,04.09.19,1
第672回,04.09.12,3
第671回,04.09.05,2
第670回,04.08.29,1
第669回,04.08.22,1
第668回,04.08.15,0
第667回,04.08.08,3
第666回,04.08.01,1
第665回,04.07.25,2
第664回,04.07.18,3
第663回,04.07.11,3
第662回,04.07.04,2
第661回,04.06.27,3
第660回,04.06.20,1
第659回,04.06.13,3
第658回,04.06.06,2
第657回,04.05.30,1
第656回,04.05.23,1
第655回,04.05.16,3
第654回,04.05.09,2
第653回,04.05.02,1
第652回,04.04.25,3
第651回,04.04.18,1
第650回,04.04.11,2
第649回,04.04.04,2
第648回,04.03.28,3
第647回,04.03.21,2
第646回,04.03.14,3
第645回,04.03.07,3
第644回,04.02.29,1
第643回,04.02.22,1
第642回,04.02.15,2
第641回,04.02.08,1
第640回,04.02.01,2
第639回,04.01.25,3
第638回,04.01.18,3
第637回,04.01.11,2
第636回,04.01.04,2
第635回,03.12.28,3
第634回,03.12.21,1
第633回,03.12.14,3
第632回,03.12.07,3
第631回,03.11.30,2
第630回,03.11.23,1
第629回,03.11.16,0
第628回,03.11.09,2
第627回,03.11.02,2
第626回,03.10.26,3
第625回,03.10.19,3
第624回,03.10.12,1
第623回,03.10.05,2
第622回,03.09.28,3
第621回,03.09.21,1
第620回,03.09.14,1
第619回,03.09.07,1
第618回,03.08.31,2
第617回,03.08.24,3
第616回,03.08.17,3
第615回,03.08.10,3
第614回,03.08.03,2
第613回,03.07.27,3
第612回,03.07.20,3
第611回,03.07.13,1
第610回,03.07.06,2
第609回,03.06.29,1
第608回,03.06.22,3
第607回,03.06.15,3
第606回,03.06.08,2
第605回,03.06.01,3
第604回,03.05.25,2
第603回,03.05.18,1
第602回,03.05.11,1
第601回,03.05.04,1
第600回,03.04.27,3
第599回,03.04.20,3
第598回,03.04.13,2
第597回,03.04.06,2
第596回,03.03.30,1
第595回,03.03.23,2
第594回,03.03.16,2
第593回,03.03.09,3
第592回,03.03.02,1
第591回,03.02.23,2
第590回,03.02.16,3
第589回,03.02.09,2
第588回,03.02.02,3
第587回,03.01.26,1
第586回,03.01.19,3
第585回,03.01.12,0
第584回,03.01.05,2
第583回,02.12.29,2
第582回,02.12.22,1
第581回,02.12.15,3
第580回,02.12.08,3
第579回,02.12.01,2
第578回,02.11.24,1
第577回,02.11.17,3
第576回,02.11.10,2
第575回,02.11.03,1
第574回,02.10.27,1
第573回,02.10.20,3
第572回,02.10.13,2
第571回,02.10.06,2
第570回,02.09.29,0
第569回,02.09.22,1
第568回,02.09.15,1
第567回,02.09.08,2
第566回,02.09.01,1
第565回,02.08.25,3
第564回,02.08.18,1
第563回,02.08.11,1
第562回,02.08.04,2
第561回,02.07.28,3
第560回,02.07.21,1
第559回,02.07.14,2
第558回,02.07.07,2
第557回,02.06.30,3
第556回,02.06.23,2
第555回,02.06.16,1
第554回,02.06.09,3
第553回,02.06.02,2
第552回,02.05.26,2
第551回,02.05.19,1
第550回,02.05.12,3
第549回,02.05.05,2
第548回,02.04.28,3
第547回,02.04.21,1
第546回,02.04.14,2
第545回,02.04.07,2
第544回,02.03.31,1
第543回,02.03.24,3
第542回,02.03.17,1
第541回,02.03.10,2
第540回,02.03.03,1
第539回,02.02.24,1
第538回,02.02.17,3
第537回,02.02.10,2
第536回,02.02.03,1
第535回,02.01.27,3
第534回,02.01.20,0
第533回,02.01.13,2
第532回,02.01.06,2
第531回,01.12.30,3
第530回,01.12.23,1
第529回,01.12.16,2
第528回,01.12.09,3
第527回,01.12.02,2
第526回,01.11.25,3
第525回,01.11.18,1
第524回,01.11.11,1
第523回,01.11.04,2
第522回,01.10.28,3
第521回,01.10.21,2
第520回,01.10.14,1
第519回,01.10.07,2
第518回,01.09.30,0
第517回,01.09.23,2
第516回,01.09.16,3
第515回,01.09.09,3
第514回,01.09.02,2
第513回,01.08.26,3
第512回,01.08.19,1
第511回,01.08.12,1
第510回,01.08.05,2
第509回,01.07.29,3
第508回,01.07.22,2
第507回,01.07.15,3
第506回,01.07.08,1
第505回,01.07.01,3
第504回,01.06.24,2
第503回,01.06.17,2
第502回,01.06.10,1
第501回,01.06.03,1
第500回,01.05.27,3
第499回,01.05.20,1
第498回,01.05.13,3
第497回,01.05.06,2
第496回,01.04.29,3
第495回,01.04.22,1
第494回,01.04.15,1
第493回,01.04.08,3
第492回,01.04.01,2
第491回,01.03.25,1
第490回,01.03.18,2
第489回,01.03.11,3
第488回,01.03.04,2
第487回,01.02.25,1
第486回,01.02.18,2
第485回,01.02.11,2
第484回,01.02.04,2
第483回,01.01.28,1
第482回,01.01.21,1
第481回,01.01.14,3
第480回,01.01.07,2
第479回,00.12.31,3
第478回,00.12.24,2
第477回,00.12.17,2
第476回,00.12.10,3
第475回,00.12.03,1
第474回,00.11.26,3
第473回,00.11.19,2
第472回,00.11.12,3
第471回,00.11.05,2
第470回,00.10.29,2
第469回,00.10.22,3
第468回,00.10.15,1
第467回,00.10.08,1
第466回,00.10.01,3
第465回,00.09.24,3
第464回,00.09.17,2
第463回,00.09.10,2
第462回,00.09.03,1
第461回,00.08.27,3
第460回,00.08.20,1
第459回,00.08.13,3
第458回,00.08.06,2
第457回,00.07.30,2
第456回,00.07.23,3
第455回,00.07.16,3
第454回,00.07.09,2
第453回,00.07.02,2
第452回,00.06.25,2
第451回,00.06.18,1
第450回,00.06.11,3
第449回,00.06.04,2
第448回,00.05.28,1
第447回,00.05.21,1
第446回,00.05.14,2
第445回,00.05.07,1
第444回,00.04.30,3
第443回,00.04.23,2
第442回,00.04.16,1
第441回,00.04.09,2
第440回,00.04.02,2
第439回,00.03.26,1
第438回,00.03.19,3
第437回,00.03.12,2
第436回,00.03.05,1
第435回,00.02.27,3
第434回,00.02.20,3
第433回,00.02.13,2
第432回,00.02.06,1
第431回,00.01.30,1
第430回,00.01.23,3
第429回,00.01.16,0
第428回,00.01.09,2
第427回,00.01.02,0
第426回,99.12.26,2
第425回,99.12.19,1
第424回,99.12.12,1
第423回,99.12.05,2
第422回,99.11.28,1
第421回,99.11.21,3
第420回,99.11.14,3
第419回,99.11.07,2
第418回,99.10.31,2
第417回,99.10.17,3
第416回,99.10.10,1
第415回,99.10.03,3
第414回,99.09.26,1
第413回,99.09.19,1
第412回,99.09.12,3
第411回,99.09.05,2
第410回,99.08.29,2
第409回,99.08.22,2
第408回,99.08.15,1
第407回,99.08.08,2
第406回,99.08.01,3
第405回,99.07.25,1
第404回,99.07.18,2
第403回,99.07.11,3
第402回,99.07.04,3
第401回,99.06.27,3
第400回,99.06.20,1
第399回,99.06.13,2
第398回,99.06.06,1
第397回,99.05.30,3
第396回,99.05.23,1
第395回,99.05.16,2
第394回,99.05.09,3
第393回,99.05.02,3
第392回,99.04.25,1
第391回,99.04.18,1
第390回,99.04.11,2
第389回,99.04.04,1
第388回,99.03.28,2
第387回,99.03.21,3
第386回,99.03.14,1
第385回,99.03.07,1
第384回,99.02.28,2
第383回,99.02.21,3
第382回,99.02.14,2
第381回,99.02.07,1
第380回,99.01.31,3
第379回,99.01.24,1
第378回,99.01.17,2
第377回,99.01.10,2
第376回,99.01.03,0
第375回,98.12.27,3
第374回,98.12.20,1
第373回,98.12.13,3
第372回,98.12.06,2
第371回,98.11.29,3
第370回,98.11.22,2
第369回,98.11.15,1
第368回,98.11.08,1
第367回,98.11.01,3
第366回,98.10.25,2
第365回,98.10.18,3
第364回,98.10.11,1
第363回,98.10.04,2
第362回,98.09.27,2
第361回,98.09.20,3
第360回,98.09.13,3
第359回,98.09.06,2
第358回,98.08.30,1
第357回,98.08.23,3
第356回,98.08.16,2
第355回,98.08.09,3
第354回,98.08.02,1
第353回,98.07.26,1
第352回,98.07.19,2
第351回,98.07.12,3
第350回,98.07.05,2
第349回,98.06.28,3
第348回,98.06.21,1
第347回,98.06.14,2
第346回,98.06.07,3
第345回,98.05.31,2
第344回,98.05.24,1
第343回,98.05.17,1
第342回,98.05.10,3
第341回,98.05.03,2
第340回,98.04.26,3
第339回,98.04.19,1
第338回,98.04.12,2
第337回,98.04.05,2
第336回,98.03.29,3
第335回,98.03.22,1
第334回,98.03.15,2
第333回,98.03.08,3
第332回,98.03.01,3
第331回,98.02.22,1
第330回,98.02.15,2
第329回,98.02.08,2
第328回,98.02.01,1
第327回,98.01.25,3
第326回,98.01.18,3
第325回,98.01.11,1
第324回,98.01.04,2
第323回,97.12.28,3
第322回,97.12.21,2
第321回,97.12.14,3
第320回,97.12.07,1
第319回,97.11.30,1
第318回,97.11.23,3
第317回,97.11.16,2
第316回,97.11.09,1
第315回,97.11.02,2
第314回,97.10.26,3
第313回,97.10.19,1
第312回,97.10.12,2
第311回,97.10.05,2
第310回,97.09.28,3
第309回,97.09.21,2
第308回,97.09.14,1
第307回,97.09.07,2
第306回,97.08.31,3
第305回,97.08.24,3
第304回,97.08.17,1
第303回,97.08.10,2
第302回,97.08.03,1
第301回,97.07.27,0
第300回,97.07.20,3
第299回,97.07.13,1
第298回,97.07.06,2
第297回,97.06.29,2
第296回,97.06.22,3
第295回,97.06.15,1
第294回,97.06.08,1
第293回,97.06.01,2
第292回,97.05.25,3
第291回,97.05.18,2
第290回,97.05.11,1
第289回,97.05.04,3
第288回,97.04.27,3
第287回,97.04.20,2
第286回,97.04.13,1
第285回,97.04.06,2
第284回,97.03.30,3
第283回,97.03.23,3
第282回,97.03.16,1
第281回,97.03.09,2
第280回,97.03.02,1
第279回,97.02.23,2
第278回,97.02.16,3
第277回,97.02.09,1
第276回,97.02.02,3
第275回,97.01.26,2
第274回,97.01.19,3
第273回,97.01.12,1
第272回,97.01.05,2
第271回,96.12.29,2
第270回,96.12.22,1
第269回,96.12.15,1
第268回,96.12.08,3
第267回,96.12.01,3
第266回,96.11.24,2
第265回,96.11.17,3
第264回,96.11.10,1
第263回,96.11.03,1
第262回,96.10.27,2
第261回,96.10.20,0
第260回,96.10.13,3
第259回,96.10.06,0
第258回,96.09.29,2
第257回,96.09.22,1
第256回,96.09.15,1
第255回,96.09.08,3
第254回,96.09.01,1
第253回,96.08.25,2
第252回,96.08.18,2
第251回,96.08.11,3
第250回,96.08.04,3
第249回,96.07.28,1
第248回,96.07.21,3
第247回,96.07.14,2
第246回,96.07.07,2
第245回,96.06.30,1
第244回,96.06.23,2
第243回,96.06.16,1
第242回,96.06.09,3
第241回,96.06.02,2
第240回,96.05.26,3
第239回,96.05.19,2
第238回,96.05.12,1
第237回,96.05.05,1
第236回,96.04.28,2
第235回,96.04.21,3
第234回,96.04.14,3
第233回,96.04.07,2
第232回,96.03.31,1
第231回,96.03.24,3
第230回,96.03.17,1
第229回,96.03.10,2
第228回,96.03.03,2
第227回,96.02.25,1
第226回,96.02.18,3
第225回,96.02.11,3
第224回,96.02.04,2
第223回,96.01.28,3
第222回,96.01.21,1
第221回,96.01.14,1
第220回,96.01.07,2
第219回,95.12.31,3
第218回,95.12.24,2
第217回,95.12.17,3
第216回,95.12.10,1
第215回,95.12.03,2
第214回,95.11.26,2
第213回,95.11.19,1
第212回,95.11.12,3
第211回,95.11.05,2
第210回,95.10.29,3
第209回,95.10.22,1
第208回,95.10.15,1
第207回,95.10.08,3
第206回,95.10.01,2
第205回,95.09.24,2
第204回,95.09.17,1
第203回,95.09.10,3
第202回,95.09.03,3
第201回,95.08.27,2
第200回,95.08.20,3
第199回,95.08.13,1
第198回,95.08.06,2
第197回,95.07.30,2
第196回,95.07.23,1
第195回,95.07.16,3
第194回,95.07.09,3
第193回,95.07.02,1
第192回,95.06.25,2
第191回,95.06.18,3
第190回,95.06.11,2
第189回,95.06.04,1
第188回,95.05.28,1
第187回,95.05.21,2
第186回,95.05.14,3
第185回,95.05.07,3
第184回,95.04.30,2
第183回,95.04.23,1
第182回,95.04.16,2
第181回,95.04.09,3
第180回,95.04.02,1
第179回,95.03.26,2
第178回,95.03.19,3
第177回,95.03.12,3
第176回,95.03.05,1
第175回,95.02.26,2
第174回,95.02.19,3
第173回,95.02.12,2
第172回,95.02.05,2
第171回,95.01.29,1
第170回,95.01.22,3
第169回,95.01.15,1
第168回,95.01.08,2
第167回,95.01.01,0
第166回,94.12.25,3
第165回,94.12.18,1
第164回,94.12.11,3
第163回,94.12.04,1
第162回,94.11.27,2
第161回,94.11.20,3
第160回,94.11.13,2
第159回,94.11.06,1
第158回,94.10.30,2
第157回,94.10.23,3
第156回,94.10.09,3
第155回,94.10.02,1
第154回,94.09.25,1
第153回,94.09.18,2
第152回,94.09.11,3
第151回,94.09.04,1
第150回,94.08.28,3
第149回,94.08.21,2
第148回,94.08.14,1
第147回,94.08.07,1
第146回,94.07.31,3
第145回,94.07.24,0
第144回,94.07.17,2
第143回,94.07.10,2
第142回,94.07.03,3
第141回,94.06.26,1
第140回,94.06.19,2
第139回,94.06.12,3
第138回,94.06.05,2
第137回,94.05.29,1
第136回,94.05.22,2
第135回,94.05.15,3
第134回,94.05.08,3
第133回,94.05.01,1
第132回,94.04.24,2
第131回,94.04.17,1
第130回,94.04.10,3
第129回,94.04.03,2
第128回,94.03.27,2
第127回,94.03.20,3
第126回,94.03.13,3
第125回,94.03.06,1
第124回,94.02.27,1
第123回,94.02.20,2
第122回,94.02.13,3
第121回,94.02.06,3
第120回,94.01.30,2
第119回,94.01.23,1
第118回,94.01.16,2
第117回,94.01.09,1
第116回,94.01.02,3
第115回,93.12.26,1
第114回,93.12.19,1
第113回,93.12.12,2
第112回,93.12.05,3
